address,name,type
0056c08c,g_octree_leaf_count,global
0056c490,g_octree_depth_current,global
0060a434,g_recorded_action_controller,global
0060a4ac,g_previous_stop_phase,global
0060a548,g_duel_active,global
0060a55c,g_previous_stop_phase_player,global
0062b828,g_saved_stop_phase_player,global
00628c70,g_next_expected_network_packet_number,global
0062c364,g_saved_stop_phase,global
00715890,g_encounter_color_match_mode,global
007282f0,g_duel_player_battlefield_window,global
00728364,g_duel_opponent_battlefield_window,global
007370c0,g_startup_dialog_group,global
007385e8,g_network_packet_filter_enabled,global
007391a0,g_current_encounter_color,global
00739d54,g_duel_window_hwnd,global
00739da0,g_target_selection_network_packet,global
00786dc8,g_duel_state_0091c4fc,global
00787358,g_card_list_packet_cards,global
00790594,g_waiting_for_network_packet,global
007a3720,g_target_selection_active,global
00436740,resolve_top_card_on_stack,function
00436a20,allow_response,function
004386f0,display_duel_prompt_text,function
00459fa0,load_pic,function
00466050,ApplyCardArtPaletteToDc,function
00466540,draw_masked_bitmap_left_half_to_rect,function
004662f0,DrawBitmapToRect,function
004671a0,get_hunting_subtype_name,function
004671d0,get_tooltip_text_width,function
004673c0,draw_owner_draw_button_centered,function
00467a40,change_buttonclass_wndproc,function
00467be0,LoadFontFromIni,function
00467f40,GetPaletteColor,function
00467fa0,handle_button_palette_message,function
0046f240,setup_choose_color_dialog_resources,function
0046f450,cleanup_choose_color_dialog_resources,function
0046f4f0,get_choose_color_selection_rect,function
00471c30,get_card_id,function
0047ba50,OctreeNode_CollectLeafIndices,function
004931f0,assert,function
0049e9e0,InitBitmapInfo24bppTopDown,function
004a68c0,trace_network_packet,function
004a69a0,report_unexpected_network_packet_number,function
004eb7ac,global_screen_dc,global
004ec704,global_PTR_BluePathBitsTable,global
004ec708,global_PTR_GreenPathBitsTable,global
004ec70c,global_PTR_RedPathBitsTable,global
0056ab24,g_dialog_card_title_buffer,global
0056be20,g_choose_color_button_focus_text_color,global
0056be48,g_choose_color_mana_symbol_bitmaps,global
0056be8c,g_choose_color_prompt_text_color,global
0056bea4,g_choose_color_selection_bitmap,global
0056bea8,g_choose_color_button_pen2,global
0056bee0,g_choose_color_button_pen1,global
0056bf0c,g_choose_color_background_bitmap,global
0056bf10,g_choose_color_button_brush,global
0056bf4c,g_choose_color_label_text_color,global
0056bf54,g_choose_color_selected_color,global
0056bf5c,g_choose_color_button_unfocus_text_color,global
0056bf60,g_is_win9x,global
006087c0,global_palette_col_7c,global
006087c4,global_damage_font,global
006087fc,global_mana_stripes_pic,global
00608800,global_palette_col_5d,global
00608998,global_palette_col_9e_b,global
0060899c,global_palette_col_2f,global
006089a0,global_palette_col_bf,global
006089a4,global_palette_col_c9,global
006089a8,global_smallcard_pt_font,global
006089ac,global_summon_pic,global
006089b0,global_mana_symbols_pic,global
00608b48,global_abilities_pic,global
00608d40,global_pen_palette_5d,global
00608d44,global_palette_col_1f,global
00608d48,global_dying_pic,global
00608d4c,global_damage_pic,global
00608d50,global_palette_col_9e_a,global
00608d54,global_card_counters_pic,global
00608d8c,global_pen_palette_1f,global
0060a53c,g_response_card_type_mask,global
0060a54c,g_phase_stop_suppressed,global
0060a554,g_response_action_mask,global
0060e6cc,g_mpstime_vxd_handle,global
0060e9f0,global_cart_art_hpalette,global
0062047c,g_shared_offscreen_dc,global
00620860,g_response_processing_flags,global
00620d58,gs_words_to_sleight_count_00789c34,global
0062bce8,g_current_action_event_code,global
0062c180,g_activation_dispatch_flags,global
00628c78,g_duel_tooltip_window,global
00628798,g_current_encounter_strength,global
00715ca0,g_duel_card_preview_window_hwnd,global
00738c80,gs_words_to_hack_count_008cd924,global
00785e60,g_nested_trigger_depth,global
00787350,g_card_list_packet_type,global
00787352,g_card_list_packet_number,global
00787354,g_card_list_packet_card_count,global
007a5380,g_card_count,global
004351c0,reassess_all_cards_and_mana,function
00466350,DrawBitmapSubrectToRect,function
004665c0,DrawMaskedBitmapToRect,function
00466a00,delete_and_close_object,function
00467450,draw_item,function
00468110,enum_child_palette_message_proc,function
004d4fc0,get_text_width_with_mana_symbols,function
004ef184,g_current_phase,global
0056b910,global_font_from_ini,global
007905d8,g_response_action_taken,global
00466450,TileBitmapIntoRect,function
004d5080,GetNextManaSymbol,function
0062bdd4,g_response_prompt_enabled,global
